01;1065834191;BRAYAN ACUÑA;02;2020;2000000;3000000;0;5000000
01;1065820404;RAFAEL CACERES;02;2020;4000000;500000;0;4500000
01;1065842380;HELDER GUERRA;02;2020;1500000;300000;10000;1790000
01;1085180412;GUILLERMO GUETTE;02;2020;2600000;250000;850000;2000000
01;1003231469;JUAN HERRERA;02;2020;8000000;0;2000000;6000000
01;1065825187;GISEL MARTINEZ;02;2020;7500000;500000;3500000;4500000
01;1010002946;OSCAR MORALES;02;2020;900000;2000000;0;2900000
01;1120753245;ROBER RIOS;02;2020;3000000;0;1500000;1500000
01;1192758501;BREYNER ORTIZ;02;2020;4600500;500000;1600500;3500000
01;1065849572;ROBERT RIOS;02;2020;9000000;0;3000000;6000000
01;1065829572;OCTAVIO RUEDA;02;2020;12000000;0;7000000;5000000
